"Fecha_Accidente","DIRECCION ACCIDENTE","CLASE ACCIDENTE","SERVICIO_VEHICULO_ACCIDENTADO","CLASE_VEHICULO_ACCIDENTADO","CANTIDAD_ACCIDENTES"
"2018-01-04T00:00:00.000","CL 19 CR 1C","Choque","PUBLICO","VOLQUETA","1"
"2018-01-04T00:00:00.000","CL 72 39 20","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-04T00:00:00.000","CL 72 39 20","Choque","PARTICULAR","CAMPERO","1"
"2018-01-04T00:00:00.000","CL 82 CR 59B","Choque","PUBLICO","BUS","1"
"2018-01-04T00:00:00.000","CL 82 CR 59B","Choque","PUBLICO","BUSETA","1"
"2018-01-04T00:00:00.000","CL 85 CR 57","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-04T00:00:00.000","CL 85 CR 57","Choque","PUBLICO","CAMIONETA","1"
"2018-01-04T00:00:00.000","CLLE 17 CRA 22","Choque","PUBLICO","BUS","1"
"2018-01-04T00:00:00.000","CLLE 17 CRA 22","Choque","PUBLICO","BUSETA","1"
"2018-01-04T00:00:00.000","CLLE 30 CRA 21B","Choque","PUBLICO","BUS","1"
"2018-01-04T00:00:00.000","CLLE 30 CRA 21B","Choque","PUBLICO","MICROBUS","1"
"2018-01-04T00:00:00.000","CLLE 96 CRA 49C","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-04T00:00:00.000","CLLE 96 CRA 49C","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-04T00:00:00.000","CR 14 CL 35","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-04T00:00:00.000","CR 14 CL 35","Choque","PUBLICO","CAMION","1"
"2018-01-04T00:00:00.000","CR 17 CL 36B","Atropello","PUBLICO","BUS","1"
"2018-01-04T00:00:00.000","CR 29 CL 37","Choque","PUBLICO","BUS","1"
"2018-01-04T00:00:00.000","CR 29 CL 37","Choque","PUBLICO","CAMION","1"
"2018-01-04T00:00:00.000","CR 49 CL 64","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-04T00:00:00.000","CR 49 CL 64","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-04T00:00:00.000","CR 51B CL 90","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-04T00:00:00.000","CR 51B CON 85","Choque","PUBLICO","BUSETA","1"
"2018-01-04T00:00:00.000","CR 51B CON 85","Choque","PARTICULAR","CAMPERO","1"
"2018-01-04T00:00:00.000","CRA 75A CLLE 91","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-04T00:00:00.000","CRA 75A CLLE 91","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-05T00:00:00.000","AVENIDA 47 CALLE 88B","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-05T00:00:00.000","AVENIDA 47 CALLE 88B","Choque","PUBLICO","CAMION","1"
"2018-01-05T00:00:00.000","CALLE 47 CRA 8","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-05T00:00:00.000","CALLE 47 CRA 8","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-05T00:00:00.000","CL 110 CR 6","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-05T00:00:00.000","CL 110 CR 6","Choque","PARTICULAR","CAMPERO","1"
"2018-01-05T00:00:00.000","CL 99 CR 52 53","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-05T00:00:00.000","CLLE 42 CRA 78","Choque","PUBLICO","BUS","1"
"2018-01-05T00:00:00.000","CLLE 42 CRA 78","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-05T00:00:00.000","CLLE 68B CRA 68","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-05T00:00:00.000","CR 51B CL 90","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-05T00:00:00.000","CRA 20B CALLE 64B","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-05T00:00:00.000","CRA 20B CALLE 64B","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-05T00:00:00.000","CRA 45 CLLE 53","Choque","PARTICULAR","MOTOCICLETA","2"
"2018-01-05T00:00:00.000","CRA 49C CALLE 76","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-05T00:00:00.000","CRA 49C CALLE 76","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-05T00:00:00.000","CRA 53 CALLE 110","Choque","PARTICULAR","CAMION","1"
"2018-01-05T00:00:00.000","CRA 53 CALLE 110","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-05T00:00:00.000","VIA 40 CR 51","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-05T00:00:00.000","VIA 40 CR 51","Choque","PUBLICO","TRACTO/CAMION","1"
"2018-01-06T00:00:00.000","AV CORDIALIDAD CON CIRCUNVALAR","Caida Ocupante","PUBLICO","BUS","1"
"2018-01-06T00:00:00.000","CALLE 30 CRA 46","Atropello","PARTICULAR","MOTOCICLETA","1"
"2018-01-06T00:00:00.000","CALLE 70 CRA 48","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-06T00:00:00.000","CALLE 70 CRA 48","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-06T00:00:00.000","CLLE 110 CRA 6","Atropello","PUBLICO","BUS","1"
"2018-01-06T00:00:00.000","CLLE 110 CRA 6","Atropello","PARTICULAR","MOTOCICLETA","1"
"2018-01-06T00:00:00.000","CLLE 68 CRA 60","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-06T00:00:00.000","CLLE 68 CRA 60","Choque","OFICIAL","CAMIONETA","1"
"2018-01-06T00:00:00.000","CLLE 84 CRA 42B1","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-06T00:00:00.000","CLLE 84 CRA 42B1","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-06T00:00:00.000","CR 42F 75B 124","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-06T00:00:00.000","CR 42F 75B 124","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-06T00:00:00.000","CR 44 CL 42","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-06T00:00:00.000","CR 44 CL 42","Choque","PUBLICO","BUSETA","1"
"2018-01-06T00:00:00.000","CRA 46 CLLE 76","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-06T00:00:00.000","CRA 46 CLLE 76","Choque","PARTICULAR","CAMPERO","1"
"2018-01-06T00:00:00.000","CRA 51B CALLE 90","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-06T00:00:00.000","CRA 51B CALLE 90","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-06T00:00:00.000","VIA 40 CR 46","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-06T00:00:00.000","VIA 40 CR 46","Choque","PUBLICO","BUSETA","1"
"2018-01-06T00:00:00.000","VIA 40 CR 46","Choque","PUBLICO","TRACTO/CAMION","1"
"2018-01-07T00:00:00.000","CL 30 CR 29","Choque","PUBLICO","AUTOMOVIL","2"
"2018-01-07T00:00:00.000","CL 30 CR 41","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-07T00:00:00.000","CL 30 CR 41","Choque","PUBLICO","BUS","1"
"2018-01-07T00:00:00.000","CLLE 110 CRA 38","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-07T00:00:00.000","CLLE 110 CRA 38","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-07T00:00:00.000","CLLE 39 CRA 26B","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-07T00:00:00.000","CLLE 39 CRA 26B","Choque",,"REMOLQUE","1"
"2018-01-07T00:00:00.000","CR 10 CL 62","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-07T00:00:00.000","CR 10 CL 62","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-07T00:00:00.000","CR 51B CL 100","Choque","PUBLICO","AUTOMOVIL","2"
"2018-01-07T00:00:00.000","CRA 50 CALLE 18","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-07T00:00:00.000","CRA 50 CALLE 18","Choque","PARTICULAR","MOTOCARRO","1"
"2018-01-07T00:00:00.000","CRA 58 CALLE 90","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-07T00:00:00.000","CRA 58 CALLE 90","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-07T00:00:00.000","CRA 58 CALLE 94","Choque","PARTICULAR","CAMPERO","1"
"2018-01-07T00:00:00.000","CRA 58 CALLE 94","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-08T00:00:00.000","CALLE 30 CRA 20","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-08T00:00:00.000","CALLE 30 CRA 20","Choque","PUBLICO","BUS","1"
"2018-01-08T00:00:00.000","CALLE 48 CRA 41","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-08T00:00:00.000","CALLE 48 CRA 41","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-08T00:00:00.000","CLLE 53D CRA 29","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-08T00:00:00.000","CR 13 CL 104","Choque","OFICIAL","MOTOCICLETA","1"
"2018-01-08T00:00:00.000","CR 13 CL 104","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-08T00:00:00.000","CR 38 CL 30","Atropello","PARTICULAR","MOTOCICLETA","1"
"2018-01-08T00:00:00.000","CR 44 CL 38","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-08T00:00:00.000","CRA 38 CALLE 72","Choque","PUBLICO","BUS","1"
"2018-01-08T00:00:00.000","CRA 38 CALLE 72","Choque","PUBLICO","CAMIONETA","1"
"2018-01-08T00:00:00.000","CRA 42G CALLE 84B","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-08T00:00:00.000","CRA 42G CALLE 84B","Choque","PUBLICO","CAMIONETA","1"
"2018-01-08T00:00:00.000","CRA 45 CALLE 37","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-08T00:00:00.000","CRA 45 CALLE 37","Choque","PUBLICO","BUS","1"
"2018-01-09T00:00:00.000","CALLE 106 CRA 51B","Choque","PUBLICO","BUS","1"
"2018-01-09T00:00:00.000","CALLE 106 CRA 51B","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-09T00:00:00.000","CALLE 72 CRA 38B","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-09T00:00:00.000","CALLE 72 CRA 38B","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-09T00:00:00.000","CLLE 42 CRA 41","Atropello","PARTICULAR","CAMIONETA","1"
"2018-01-09T00:00:00.000","CLLE 72 CRA 65","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-09T00:00:00.000","CR 37 CL 57","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-09T00:00:00.000","CR 37 CL 57","Choque",,"MOTOCICLETA","1"
"2018-01-09T00:00:00.000","CRA 38 CLLE 80B","Choque","PARTICULAR","MOTOCICLETA","2"
"2018-01-09T00:00:00.000","CRA 46 CALLE 94","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-09T00:00:00.000","CRA 46 CALLE 94","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-09T00:00:00.000","VIA 40 CRA 54","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-09T00:00:00.000","VIA 40 CRA 54","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-10T00:00:00.000","CALLE 38 CRA 21B","Choque","PUBLICO","BUS","1"
"2018-01-10T00:00:00.000","CALLE 38 CRA 21B","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-10T00:00:00.000","CL 19 3A 34","Choque","PUBLICO","BUS","1"
"2018-01-10T00:00:00.000","CL 19 3A 34","Choque","PUBLICO","VOLQUETA","1"
"2018-01-10T00:00:00.000","CL 19 CR 7","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-10T00:00:00.000","CL 19 CR 7","Choque","PUBLICO","TRACTO/CAMION","1"
"2018-01-10T00:00:00.000","CL 34 CR 35","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-10T00:00:00.000","CL 34 CR 35","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-10T00:00:00.000","CL 45 CR 50B","Choque","PUBLICO","BUS","1"
"2018-01-10T00:00:00.000","CL 45 CR 50B","Choque","PUBLICO","CAMION","1"
"2018-01-10T00:00:00.000","CL 79 42F 41","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-10T00:00:00.000","CL 79 42F 41","Choque","PUBLICO","BUS","1"
"2018-01-10T00:00:00.000","CL 82 43 19","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-10T00:00:00.000","CLLE 79 CRA 73","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-10T00:00:00.000","CLLE 79 CRA 73","Choque","PUBLICO","CAMION","1"
"2018-01-10T00:00:00.000","CR 68 CL 75","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-10T00:00:00.000","CR 68 CL 75","Choque","PARTICULAR","CAMPERO","1"
"2018-01-10T00:00:00.000","CR 9G 94 102","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-10T00:00:00.000","CR 9G 94 102","Choque","PUBLICO","CAMIONETA","1"
"2018-01-10T00:00:00.000","CRA 47 CLLE 82","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-10T00:00:00.000","CRA 47 CLLE 82","Choque","PARTICULAR","CAMPERO","1"
"2018-01-10T00:00:00.000","CRA 49 CALLE 67","Choque","PARTICULAR","MOTOCICLETA","2"
"2018-01-10T00:00:00.000","VIA 40 CON 67B","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-10T00:00:00.000","VIA 40 CON 67B","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-10T00:00:00.000","VIA 40 CR 79","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-10T00:00:00.000","VIA 40 CR 79","Choque","PUBLICO","VOLQUETA","1"
"2018-01-11T00:00:00.000","CL 110 CR 36B","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-11T00:00:00.000","CL 110 CR 36B","Choque","PUBLICO","TRACTO/CAMION","1"
"2018-01-11T00:00:00.000","CL 30 CR 21","Choque","PARTICULAR","MOTOCICLETA","2"
"2018-01-11T00:00:00.000","CL 30 CR 44","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-11T00:00:00.000","CL 30 CR 44","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-11T00:00:00.000","CL 30 FRENTE AL 29 101","Choque","PUBLICO","BUS","3"
"2018-01-11T00:00:00.000","CL 75 CR 41D","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-11T00:00:00.000","CL 75 CR 41D","Choque","PUBLICO","BUS","1"
"2018-01-11T00:00:00.000","CR 14 CL 63","Atropello","PARTICULAR","MOTOCICLETA","1"
"2018-01-11T00:00:00.000","CR 42 CL 85","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-11T00:00:00.000","CR 42 CL 85","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-11T00:00:00.000","CR 44 CL 51","Choque","PUBLICO","BUS","2"
"2018-01-11T00:00:00.000","CR 46 CL 54","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-11T00:00:00.000","CR 46 CL 54","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-11T00:00:00.000","CR 54 CL 59","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-11T00:00:00.000","CR 54 CL 59","Choque","PUBLICO","BUS","1"
"2018-01-11T00:00:00.000","CRA 33 CALLE 39","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-11T00:00:00.000","CRA 33 CALLE 39","Choque","PUBLICO","CAMIONETA","1"
"2018-01-11T00:00:00.000","CRA 45 CLLE 44","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-11T00:00:00.000","CRA 47 CALLE 72","Atropello","PUBLICO","AUTOMOVIL","1"
"2018-01-11T00:00:00.000","CRA 58 CALLE 91","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-11T00:00:00.000","CRA 58 CALLE 91","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","AV CIRCUNVALAR","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","AV CIRCUNVALAR","Choque","PUBLICO","BUS","1"
"2018-01-12T00:00:00.000","AVENIDA 110 CALLE 47","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","AVENIDA 110 CALLE 47","Choque","PUBLICO","VOLQUETA","1"
"2018-01-12T00:00:00.000","CL 110 CR 38 Y 43","Atropello","PUBLICO","CAMION","1"
"2018-01-12T00:00:00.000","CL 30 CR 21 Y 22","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-12T00:00:00.000","CL 30 CR 21 Y 22","Choque","PUBLICO","CAMIONETA","1"
"2018-01-12T00:00:00.000","CL 81 CR 64","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-12T00:00:00.000","CL 81 CR 64","Choque","PARTICULAR","MOTOCICLETA","2"
"2018-01-12T00:00:00.000","CL 86 CR 71","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CL 86 CR 71","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-12T00:00:00.000","CLLE 45B CRA 21","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CLLE 45B CRA 21","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-12T00:00:00.000","CLLE 84 CRA 42 G","Choque","PUBLICO","CAMION","1"
"2018-01-12T00:00:00.000","CLLE 84 CRA 42 G","Choque","PUBLICO","CAMIONETA","1"
"2018-01-12T00:00:00.000","CR 14 CL 56B","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CR 14 CL 56B","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-12T00:00:00.000","CR 38 CL 79A","Choque","PUBLICO","BUS","2"
"2018-01-12T00:00:00.000","CRA 38 CALLE 56","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CRA 38 CALLE 56","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-12T00:00:00.000","CRA 42F CALLE 79","Choque","PUBLICO","BUS","1"
"2018-01-12T00:00:00.000","CRA 42F CALLE 79","Choque","PARTICULAR","CAMPERO","1"
"2018-01-12T00:00:00.000","CRA 47 CALLE 104","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CRA 50 CALLE 86","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CRA 50 CALLE 86","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-12T00:00:00.000","CRA 51 CALLE 96","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CRA 51 CALLE 96","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-12T00:00:00.000","CRA 51B CALLE 84","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CRA 51B CALLE 84","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CRA 55 CALLE 100","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","CRA 55 CALLE 100","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-12T00:00:00.000","VIA 40 CL 80","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-12T00:00:00.000","VIA 40 CL 80","Choque","PUBLICO","TRACTO/CAMION","1"
"2018-01-13T00:00:00.000","CALLE 19 CRA 3A","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CALLE 19 CRA 3A","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CALLE 30 CRA 11","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CALLE 30 CRA 11","Choque","PUBLICO","CAMIONETA","1"
"2018-01-13T00:00:00.000","CALLE 45 CRA 45","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CALLE 74 CRA 42F","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CALLE 74 CRA 42F","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CALLE 76 CRA 51","Choque","PUBLICO","AUTOMOVIL","2"
"2018-01-13T00:00:00.000","CALLE 79 CRA 42","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CALLE 79 CRA 42","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-13T00:00:00.000","CL 110 CR 26","Atropello","PUBLICO","CAMION","1"
"2018-01-13T00:00:00.000","CL 38B CR 5A","Choque","PUBLICO","AUTOMOVIL","2"
"2018-01-13T00:00:00.000","CL 60 CR 31","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-13T00:00:00.000","CL 80B CR 41D","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CL 80B CR 41D","Choque","PUBLICO","BUS","1"
"2018-01-13T00:00:00.000","CL 99 CR 55","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CL 99 CR 55","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-13T00:00:00.000","CR 15 SUR CL 70","Choque",,"AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CR 15 SUR CL 70","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-13T00:00:00.000","CR 42H 87 80","Atropello","PARTICULAR","MOTOCICLETA","1"
"2018-01-13T00:00:00.000","CRA 14 CALLR 45B","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-13T00:00:00.000","CRA 14 CALLR 45B","Choque","PARTICULAR","CAMPERO","1"
"2018-01-13T00:00:00.000","CRA 34 CALLE 72","Choque","PARTICULAR","CAMPERO","1"
"2018-01-13T00:00:00.000","CRA 34 CALLE 72","Choque","PARTICULAR","MOTOCICLETA","1"
